 11111111111111111111|22222222222222222222|33333333333333333333|44444444444444444444|55555555555555555555|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
1                    |                    |                    |#########ss#########|####################|
----------------------------------------------------------------------------------------------------------
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
2                    |                    |#########ss#########|####################|                    |
----------------------------------------------------------------------------------------------------------
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
3|#########ss#########|#########ss#########|                    |                    |
----------------------------------------------------------------------------------------------------------
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
4####################||#ssssssssssssss#####|#####ssssssssssssss#|                    |
----------------------------------------------------------------------------------------------------------
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
5                    |####################|#########SS#########|####################|####################|
----------------------------------------------------------------------------------------------------------
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
6                    |                    |#########ss#########|                    |                    |
----------------------------------------------------------------------------------------------------------
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
7                    |                    |####################|####################|                    |
----------------------------------------------------------------------------------------------------------
