 11111111111111111111|22222222222222222222|33333333333333333333|44444444444444444444|55555555555555555555|66666666666666666666|
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
1####################|####################|#########ss#########|                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
2                    |                    |#########ss#########|                    |#####ss##ss##ss#####|                    |
-------------------------------------------------------------------------------------------------------------------------------
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
3#########ss#########|                    |#####ss##ss#########|#########ss#########|#########ss##ss#####|#########ss#########|
-------------------------------------------------------------------------------------------------------------------------------
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
4####################|#########ss#########|####################|####################|####################|#########ss#########|
-------------------------------------------------------------------------------------------------------------------------------
5                    |####################|                    |                    |                    |#########ss#########|
